offerId,tienda,titulo,precio,productId,modelSlug,tiendas,congelado,efecto,ratioPrecio,veredicto,motivo
of69039,kushbreak,"""Puffco Atomizador V3""",45990,,,,,,"",NO-VINCULAR,"sin candidatos curados"
of69340,kushbreak,"""Puffco Proxy""",329990,10443,puffco/proxy,2,no,SUMA-TIENDA,1.06,VINCULAR,"similitud 0.667, SUMA-TIENDA a P10443 (2t)"
of69205,kushbreak,"""RAW caja metálica""",6990,5965,raw/case-1-1-4,4,"",SUMA-TIENDA,4.40,NECESITA-FOTO,"ratio 4.40 — verificar modelo"
of69118,kushbreak,"""RAW Frasco de Vidrio""",11990,5766,raw/jar-mason-glass-473ml,2,"",SUMA-TIENDA,3.01,NECESITA-FOTO,"ratio 3.01 — verificar modelo"
of69051,kushbreak,"""RAW® Level 5 madera""",39990,10470,raw/tridente-madera,2,"",SUMA-TIENDA,2.00,NECESITA-FOTO,"ratio 2.00 + similitud baja 0.400"
of69025,kushbreak,"""Tips RAW® Pre-enrolados""",1690,10244,raw/pre-rolled-tip-21u,2,no,SUMA-TIENDA,1.13,VINCULAR,"similitud 0.500, SUMA-TIENDA a P10244 (2t)"
of69067,kushbreak,"""Bandeja RAW Double thick glass""",59990,,,,,,"",NO-VINCULAR,"sin candidatos curados"
of69021,kushbreak,"""RAW Trident madera""",34990,10470,raw/tridente-madera,2,no,SUMA-TIENDA,1.75,VINCULAR,"similitud 0.400, SUMA-TIENDA a P10470 (2t)"
of69056,kushbreak,"Connosseur RAW® + tips 1 1/4",1590,10053,raw/classic-con-tips,3,no,SUMA-TIENDA,1.07,NO-VINCULAR,"TALLA: 1 1/4 es talla distinta de classic-con-tips (king size)"
of69260,kushbreak,"""Encendedor Ronson""",690,,,,,,"",NO-VINCULAR,"sin candidatos curados"
of69026,kushbreak,"""Ryot 420 Kit Todo En 1""",12990,,,,,,"",NO-VINCULAR,"sin candidatos curados"
of69010,kushbreak,"""RYOT Hitter de Aluminio Anodizado""",9990,,,,,,"",NO-VINCULAR,"sin candidatos curados"
of69267,kushbreak,"""Multi Utility Tool RYOT""",49990,,,,,,"",NO-VINCULAR,"sin candidatos curados"
of69131,kushbreak,"""Contenedor para caños tipo Tubo - Soulblime""",1290,,,,,,"",NO-VINCULAR,"sin candidatos curados"
of69346,kushbreak,"""Yocan ZIVA - Batería para Cartridges""",19990,10638,unknown/bateria-galaxy-510,2,"",SUMA-TIENDA,1.82,NECESITA-FOTO,"ratio 1.82 + similitud baja 0.375"
of69345,kushbreak,"""Yocan UNI S - Batería para cartridges""",27990,10638,unknown/bateria-galaxy-510,2,"",SUMA-TIENDA,2.55,NECESITA-FOTO,"ratio 2.55 — verificar modelo"
of69192,kushbreak,"""Yocan VANE - Vaporizador de Hierbas""",69990,10679,yocan/vaporizer-vane-2,3,no,SUMA-TIENDA,1.06,VINCULAR,"similitud 0.600, SUMA-TIENDA a P10679 (3t)"
of87819,friendlygrow,"""Funda Multifunción para Encendedor 3-en-1 - Windproof &amp",NaN,,,,,,"",NO-VINCULAR,"sin candidatos curados"
of87632,friendlygrow,"""Pipa de Pyrex Cookies Spoon - Premium Borosilicate Glass - Diseño 1""",6290,,,,,,"",NO-VINCULAR,"sin candidatos curados"
of87635,friendlygrow,"""Pipa de Pyrex Cookies Spoon - Premium Borosilicate Glass - Diseño 4""",6290,,,,,,"",NO-VINCULAR,"sin candidatos curados"
of87633,friendlygrow,"""Pipa de Pyrex Cookies Spoon - Premium Borosilicate Glass - Diseño 2""",6290,,,,,,"",NO-VINCULAR,"sin candidatos curados"
of87634,friendlygrow,"""Pipa de Pyrex Cookies Spoon - Premium Borosilicate Glass - Diseño 3""",6290,,,,,,"",NO-VINCULAR,"sin candidatos curados"
of87637,friendlygrow,"""Pipa de Pyrex Cookies Spoon - Premium Borosilicate Glass - Diseño 6""",6290,,,,,,"",NO-VINCULAR,"sin candidatos curados"
of87636,friendlygrow,"""Pipa de Pyrex Cookies Spoon - Premium Borosilicate Glass - Diseño 5""",6290,,,,,,"",NO-VINCULAR,"sin candidatos curados"
of87631,friendlygrow,"""Pipa de Pyrex Cookies Spoon - Premium Borosilicate Glass - Brown""",6290,,,,,,"",NO-VINCULAR,"sin candidatos curados"
of87643,friendlygrow,"""Full Smoking Set Cookies Edition - Kit Premium 9 Piezas""",19000,,,,,,"",NO-VINCULAR,"sin candidatos curados"
of87639,friendlygrow,"""Pipa de Pyrex Cookies Spoon - Premium Borosilicate Glass - Diseño 8""",6290,,,,,,"",NO-VINCULAR,"sin candidatos curados"
of87630,friendlygrow,"""Pipa de Pyrex Cookies Spoon - Premium Borosilicate Glass - White""",6290,,,,,,"",NO-VINCULAR,"sin candidatos curados"
of87638,friendlygrow,"""Pipa de Pyrex Cookies Spoon - Premium Borosilicate Glass - Diseño 7""",6290,,,,,,"",NO-VINCULAR,"sin candidatos curados"
of87570,friendlygrow,"""Pesa Digital de Bolsillo Cookies MAXIM-500""",119990,,,,,,"",NO-VINCULAR,"sin candidatos curados"
of87629,friendlygrow,"""Pipa de Pyrex Cookies Spoon - Premium Borosilicate Glass - Pink""",6290,,,,,,"",NO-VINCULAR,"sin candidatos curados"
of87457,friendlygrow,"""Moledor Lightning Colors Metal 55mm - Azul""",6990,5507,galaxy/aluminio-55mm,2,"",SUMA-TIENDA,2.72,NECESITA-FOTO,"ratio 2.72 — verificar modelo"
of87458,friendlygrow,"""Moledor Lightning Colors Metal 55mm - Amarillo""",6990,,,,,,"",NO-VINCULAR,"sin candidatos curados"
of87460,friendlygrow,"""Moledor Lightning Colors Metal 55mm - Morado""",6990,5507,galaxy/aluminio-55mm,2,"",SUMA-TIENDA,2.72,NECESITA-FOTO,"ratio 2.72 — verificar modelo"
of88381,friendlygrow,"""Vaporizador Discreto Dazzleaf Spaceman 550mah Para Cartridge""",28000,,,,,,"",NO-VINCULAR,"sin candidatos curados"
of87459,friendlygrow,"""Moledor Lightning Colors Metal 55mm - Verde""",6990,5507,galaxy/aluminio-55mm,2,"",SUMA-TIENDA,2.72,NECESITA-FOTO,"ratio 2.72 — verificar modelo"
of87644,friendlygrow,"""Full Smoking Set Mr. Joint Pink Edition - Kit Premium de 10 Piezas""",19000,,,,,,"",NO-VINCULAR,"sin candidatos curados"
of87645,friendlygrow,"""Pack Fumeta Set Stoner Days - Kit Premium 11 Piezas""",19000,,,,,,"",NO-VINCULAR,"sin candidatos curados"
of88236,friendlygrow,"""Boquilla de Enfriamiento Vaporizador Herbal Fenix Pro""",19990,10507,weecke/boquilla-fenix-pro,2,"",SUMA-TIENDA,4.01,NECESITA-FOTO,"ratio 4.01 — verificar modelo"
of88232,friendlygrow,"""Boquilla de Enfriamiento Vaporizador Herbal Fenix Neo""",24990,10506,weecke/boquilla-fenix-neo,2,"",SUMA-TIENDA,2.27,NECESITA-FOTO,"ratio 2.27 + similitud baja 0.444"
of88230,friendlygrow,"Boquilla de Enfriamiento Vaporizador Herbal Fenix Mini +",19990,10883,weecke/boquilla-fenix-2-0,2,no,,1.70,NECESITA-FOTO,"TALLA: mini+ vs fenix-2-0 — verificar modelo"
of87538,friendlygrow,"""Vaporizador De Hierbas Yocan Vane 100% Original Yocantech - Azul""",49990,10892,yocan/vaporizer-hit,2,no,SUMA-TIENDA,1.30,VINCULAR,"similitud 0.400, SUMA-TIENDA a P10892 (2t)"
of88838,friendlygrow,"""Vaporizador Extracciones E-rig Yocan Phaser Max - Plateado""",249990,,,,,,"",NO-VINCULAR,"sin candidatos curados"
of88839,friendlygrow,"""Yocan Cloud 2 Coil""",17990,,,,,,"",NO-VINCULAR,"sin candidatos curados"
of88902,friendlygrow,"""Vaporizador Extracciones E-Rig Yocan iCan - Morado""",46990,10548,yocan/flat,2,"",SUMA-TIENDA,4.70,NECESITA-FOTO,"ratio 4.70 — verificar modelo"
of88898,friendlygrow,"""Vaporizador Extracciones E-Rig Yocan iCan - Rosa""",46990,10521,yocan/kodo-pro,2,"",SUMA-TIENDA,3.13,NECESITA-FOTO,"ratio 3.13 — verificar modelo"
of88888,friendlygrow,"""Vaporizador Incognito Doble Yocan Dubb - Azul""",24990,10892,yocan/vaporizer-hit,2,"",SUMA-TIENDA,2.60,NECESITA-FOTO,"ratio 2.60 — verificar modelo"
of88413,friendlygrow,"""Repuesto Hot Knife Yocan Dirk""",10990,10493,yocan/dirk-hot-knife,3,"",,3.00,NECESITA-FOTO,"ratio 3.00 — verificar modelo"
of87539,friendlygrow,"""Vaporizador De Hierbas Yocan Vane 100% Original Yocantech - Nude""",49990,10892,yocan/vaporizer-hit,2,no,SUMA-TIENDA,1.30,VINCULAR,"similitud 0.400, SUMA-TIENDA a P10892 (2t)"
of87508,friendlygrow,"""Boquila Enfriamiento Herbal Vaporizador Yocan Vane 2""",9990,,,,,,"",NO-VINCULAR,"ratio 6.5 o similitud 0.429 — modelo distinto"
of87537,friendlygrow,"""Vaporizador De Hierbas Yocan Vane 100% Original Yocantech - Rojo""",49990,10892,yocan/vaporizer-hit,2,no,SUMA-TIENDA,1.30,VINCULAR,"similitud 0.400, SUMA-TIENDA a P10892 (2t)"
of88882,friendlygrow,"""Vaporizador Incognito Doble Yocan Dubb - Rojo""",24990,10548,yocan/flat,2,"",SUMA-TIENDA,2.50,NECESITA-FOTO,"ratio 2.50 + similitud baja 0.429"
of88889,friendlygrow,"""Vaporizador Incognito Doble Yocan Dubb - Verde""",24990,10548,yocan/flat,2,"",SUMA-TIENDA,2.50,NECESITA-FOTO,"ratio 2.50 + similitud baja 0.429"
of88892,friendlygrow,"""Vaporizador Extracciones E-rig Yocan Go - Rojo""",180000,,,,,,"",NO-VINCULAR,"ratio 18.0 o similitud 0.429 — modelo distinto"
of88626,friendlygrow,"""Yocan Phaser Max Glass (repuesto)""",46990,,,,,,"",NO-VINCULAR,"sin candidatos curados"
of87917,friendlygrow,"Vaporizador Extracciones Yocan Cylo | Pantalla Smart Led - Negro",42000,10214,yocan/vaporizer-hit-2,4,si,,1.57,NO-VINCULAR,"producto congelado (4t) ya tiene friendlygrow"
of88884,friendlygrow,"""Vaporizador Incognito Doble Yocan Dubb - Blanco""",24990,10521,yocan/kodo-pro,2,no,SUMA-TIENDA,1.67,VINCULAR,"similitud 0.375, SUMA-TIENDA a P10521 (2t)"
of88903,friendlygrow,"""Vaporizador Extracciones E-Rig Yocan iCan - Verde""",46990,10548,yocan/flat,2,"",SUMA-TIENDA,4.70,NECESITA-FOTO,"ratio 4.70 — verificar modelo"
of88893,friendlygrow,"""Vaporizador Extracciones E-rig Yocan Go - Azul""",180000,10892,yocan/vaporizer-hit,2,"",SUMA-TIENDA,2.77,NECESITA-FOTO,"ratio 2.77 — verificar modelo"
of88895,friendlygrow,"""Vaporizador Extracciones E-rig Yocan Go - Blanco""",180000,,,,,,"",NO-VINCULAR,"ratio 12.0 o similitud 0.375 — modelo distinto"
of88024,friendlygrow,"""Vaporizador Yocan Ziva Pro Para Cartridges Rosca 510 - Silver""",19990,10521,yocan/kodo-pro,2,no,SUMA-TIENDA,1.33,VINCULAR,"similitud 0.455, SUMA-TIENDA a P10521 (2t)"
of88037,friendlygrow,"""Yocan QBC Coil""",11490,,,,,,"",NO-VINCULAR,"sin candidatos curados"
of88027,friendlygrow,"""Vaporizador Yocan Ziva Pro Para Cartridges Rosca 510 - Blue Purple Gradient""",19990,10521,yocan/kodo-pro,2,no,SUMA-TIENDA,1.33,VINCULAR,"similitud 0.385, SUMA-TIENDA a P10521 (2t)"
of88886,friendlygrow,"""Vaporizador Incognito Doble Yocan Dubb - Celeste""",24990,,,,,,"",NO-VINCULAR,"sin candidatos curados"
of88885,friendlygrow,"""Vaporizador Incognito Doble Yocan Dubb - Lila""",24990,,,,,,"",NO-VINCULAR,"sin candidatos curados"
of88890,friendlygrow,"""Vaporizador Extracciones E-rig Yocan Go - Negro""",180000,,,,,,"",NO-VINCULAR,"ratio 18.0 o similitud 0.429 — modelo distinto"
of88881,friendlygrow,"""Vaporizador Incognito Doble Yocan Dubb - Negro""",24990,10548,yocan/flat,2,"",SUMA-TIENDA,2.50,NECESITA-FOTO,"ratio 2.50 + similitud baja 0.429"
of88833,friendlygrow,"""Vaporizador Extracciones E-rig Yocan Phaser Max - Negro""",249990,,,,,,"",NO-VINCULAR,"ratio 25.0 o similitud 0.375 — modelo distinto"
of88835,friendlygrow,"""Vaporizador Extracciones E-rig Yocan Phaser Max - Rojo""",249990,,,,,,"",NO-VINCULAR,"ratio 25.0 o similitud 0.375 — modelo distinto"
of87536,friendlygrow,"""Vaporizador De Hierbas Yocan Vane 100% Original Yocantech - Plateado""",49990,10892,yocan/vaporizer-hit,2,no,SUMA-TIENDA,1.30,VINCULAR,"similitud 0.400, SUMA-TIENDA a P10892 (2t)"
of88136,friendlygrow,"""Vaporizador Extracciones Yocan Pocket - Negro""",79990,,,,,,"",NO-VINCULAR,"ratio 8.0 o similitud 0.500 — modelo distinto"
of88141,friendlygrow,"""Vaporizador Extracciones Yocan Pocket - Blanco""",79990,,,,,,"",NO-VINCULAR,"ratio 5.3 o similitud 0.429 — modelo distinto"
of88914,friendlygrow,"""Vaporizador Extracciones Yocan Nestor""",27000,10548,yocan/flat,2,"",SUMA-TIENDA,2.70,NECESITA-FOTO,"ratio 2.70 — verificar modelo"
of88911,friendlygrow,"""Vaporizador Extracciones Yocan Iris - Morado""",25990,10548,yocan/flat,2,"",SUMA-TIENDA,2.60,NECESITA-FOTO,"ratio 2.60 — verificar modelo"
of88909,friendlygrow,"""Vaporizador Extracciones Yocan Iris - Blanco""",25990,10521,yocan/kodo-pro,2,no,SUMA-TIENDA,1.73,VINCULAR,"similitud 0.429, SUMA-TIENDA a P10521 (2t)"
of88906,friendlygrow,"""Vaporizador Extracciones E-Rig Yocan iCan - Negro""",46990,10548,yocan/flat,2,"",SUMA-TIENDA,4.70,NECESITA-FOTO,"ratio 4.70 — verificar modelo"
of88904,friendlygrow,"""Vaporizador Extracciones E-Rig Yocan iCan - Celeste""",46990,10503,yocan/pocket,4,"",,2.02,NECESITA-FOTO,"ratio 2.02 + similitud baja 0.375"
of87948,friendlygrow,"""Boquilla de Enfriamiento Vaporizador Herbal Yocan Hit""",5990,,,,,,"",NO-VINCULAR,"ratio 10.8 o similitud 0.571 — modelo distinto"
of87561,friendlygrow,"""Boquilla de Enfriamiento Vaporizador Herbal Yocan Hit 2""",9990,,,,,,"",NO-VINCULAR,"ratio 6.5 o similitud 0.571 — modelo distinto"
of88140,friendlygrow,"""Vaporizador Extracciones Yocan Pocket - Azul""",79990,10892,yocan/vaporizer-hit,2,no,SUMA-TIENDA,1.23,VINCULAR,"similitud 0.429, SUMA-TIENDA a P10892 (2t)"
of88138,friendlygrow,"""Vaporizador Extracciones Yocan Pocket - Rosa""",79990,,,,,,"",NO-VINCULAR,"ratio 5.3 o similitud 0.429 — modelo distinto"
of87661,friendlygrow,"""Hot Knife Dabber Eléctrico Para Extracciones | Yocan Blade. - Negro""",29990,10312,puffco/hot-knife,4,"",SUMA-TIENDA,2.40,NECESITA-FOTO,"ratio 2.40 + similitud baja 0.417"
of87660,friendlygrow,"""Hot Knife Dabber Eléctrico Para Extracciones | Yocan Blade. - Silver""",29990,10312,puffco/hot-knife,4,"",SUMA-TIENDA,2.40,NECESITA-FOTO,"ratio 2.40 + similitud baja 0.417"
of87659,friendlygrow,"""Hot Knife Dabber Eléctrico Para Extracciones | Yocan Blade. - Rojo""",29990,10312,puffco/hot-knife,4,"",SUMA-TIENDA,2.40,NECESITA-FOTO,"ratio 2.40 + similitud baja 0.417"
of87658,friendlygrow,"""Hot Knife Dabber Eléctrico Para Extracciones | Yocan Blade. - Morado""",29990,10312,puffco/hot-knife,4,"",SUMA-TIENDA,2.40,NECESITA-FOTO,"ratio 2.40 + similitud baja 0.417"
of87657,friendlygrow,"""Hot Knife Dabber Eléctrico Para Extracciones | Yocan Blade. - Celeste""",29990,10312,puffco/hot-knife,4,"",SUMA-TIENDA,2.40,NECESITA-FOTO,"ratio 2.40 + similitud baja 0.417"
of87653,friendlygrow,"Vaporizador Para Hierbas Yocan Hit - Azul",30990,10892,yocan/vaporizer-hit,2,no,SUMA-TIENDA,2.10,NO-VINCULAR,"RATIO 0.48x — accesorio/repuesto vs kit"
of87652,friendlygrow,"Vaporizador Para Hierbas Yocan Hit - Dorado",30990,10892,yocan/vaporizer-hit,2,no,SUMA-TIENDA,2.10,NO-VINCULAR,"RATIO 0.48x — accesorio/repuesto vs kit"
of87651,friendlygrow,"Vaporizador Para Hierbas Yocan Hit - Plateado",30990,10892,yocan/vaporizer-hit,2,no,SUMA-TIENDA,2.10,NO-VINCULAR,"RATIO 0.48x — accesorio/repuesto vs kit"
of88026,friendlygrow,"""Vaporizador Yocan Ziva Pro Para Cartridges Rosca 510 - Yellow""",19990,10521,yocan/kodo-pro,2,no,SUMA-TIENDA,1.33,VINCULAR,"similitud 0.455, SUMA-TIENDA a P10521 (2t)"
of88028,friendlygrow,"""Vaporizador Yocan Ziva Pro Para Cartridges Rosca 510 - Blue Gradient""",19990,10521,yocan/kodo-pro,2,no,SUMA-TIENDA,1.33,VINCULAR,"similitud 0.417, SUMA-TIENDA a P10521 (2t)"
of88030,friendlygrow,"""Vaporizador Yocan Ziva Pro Para Cartridges Rosca 510 - Black""",19990,10521,yocan/kodo-pro,2,no,SUMA-TIENDA,1.33,VINCULAR,"similitud 0.455, SUMA-TIENDA a P10521 (2t)"
of88034,friendlygrow,"""Resistencia Yocan Cloud 3 Coil Chamber 360°""",27990,,,,,,"",NO-VINCULAR,"sin candidatos curados"
of88837,friendlygrow,"""Vaporizador Extracciones E-rig Yocan Phaser Max - Azul""",249990,,,,,,"",NO-VINCULAR,"sin candidatos curados"
of88900,friendlygrow,"""Vaporizador Extracciones E-Rig Yocan iCan - Blanco""",46990,10521,yocan/kodo-pro,2,"",SUMA-TIENDA,3.13,NECESITA-FOTO,"ratio 3.13 — verificar modelo"
